Mass,Radius,Density,Temperature,Pressure,Luminosity,Energy Rate,Opacity,del_ad,del_actual,Shell Nature
2.3463570580186005e+24,18655915.75285939,88.25200385443256,17110885.806474347,2.042430585096293e+17,1.3184063738200953e+26,54.66025382386785,1.019221275796763,0.4,0.4,Convective
2.4000857371035686e+24,18794189.14112024,88.25200242641507,17110885.621696237,2.042430529956474e+17,1.3477746045183989e+26,54.66024726175477,1.019221288674439,0.4,0.4,Convective
2.455044736589431e+24,18933497.944310963,88.25200097628884,17110885.434057366,2.0424304739629725e+17,1.377815327792079e+26,54.660240598047025,1.0192213017514893,0.4,0.4,Convective
2.5112622292940116e+24,19073846.88511871,88.25199950380751,17110885.24352586,2.0424304171062784e+17,1.4085439427475806e+26,54.66023383161328,1.019221315030136,0.4,0.4,Convective
2.5687670331578697e+24,19215242.669527516,88.25199800871282,17110885.050068296,2.0424303593764176e+17,1.439976201106668e+26,54.66022696126609,1.019221328512706,0.4,0.4,Convective
2.6275886260168796e+24,19357694.04272616,88.25199649073234,17110884.85364943,2.042430300762873e+17,1.4721282152807413e+26,54.660219985754054,1.01922134220166,0.4,0.4,Convective
2.687757160712892e+24,19501211.815824315,88.25199494957735,17110884.6542319,2.0424302412544947e+17,1.505016466629932e+26,54.66021290375013,1.0192213560995984,0.4,0.4,Convective
2.749303480550596e+24,19645808.856696445,88.25199338494006,17110884.451775882,2.0424301808393997e+17,1.5386578139114143e+26,54.66020571384029,1.0192213702092974,0.4,0.4,Convective
2.8122591351083394e+24,19791500.037286896,88.25199179649083,17110884.246238716,2.0424301195048576e+17,1.5730695019211743e+26,54.66019841450971,1.0192213845337303,0.4,0.4,Convective
2.8766563964107615e+24,19938302.12860267,88.2519901838748,17110884.03757449,2.0424300572371674e+17,1.608269170333526e+26,54.66019100412774,1.019221399076097,0.4,0.4,Convective
2.9425282754721046e+24,20086233.633380376,88.25198854670829,17110883.825733557,2.0424299940215146e+17,1.644274862743222e+26,54.66018348093156,1.0192214138398574,0.4,0.4,Convective
3.009908539218003e+24,20235314.545018036,88.25198688457479,17110883.610662024,2.0424299298418163e+17,1.6811050359144158e+26,54.66017584300681,1.0192214288287662,0.4,0.4,Convective
3.078831727794985e+24,20385566.019805092,88.25198519702045,17110883.39230116,2.0424298646805472e+17,1.7187785692415314e+26,54.66016808826834,1.019221444046919,0.4,0.4,Convective
3.1493331722763574e+24,20537009.947736077,88.25198348354901,17110883.170586754,2.0424297985185462e+17,1.757314774426764e+26,54.66016021443561,1.0192214594987898,0.4,0.4,Convective
3.221449012773273e+24,20689668.405240424,88.2519817436163,17110882.9454484,2.0424297313348016e+17,1.7967334053790318e+26,54.66015221900844,1.0192214751892863,0.4,0.4,Convective
3.295216216960903e+24,20843562.970980987,88.25197997662414,17110882.716808684,2.0424296631062154e+17,1.8370546683397985e+26,54.660144099237726,1.019221491123801,0.4,0.4,Convective
3.370672599028451e+24,20998713.88343454,88.25197818191343,17110882.484582327,2.0424295938073376e+17,1.878299232240529e+26,54.660135852094804,1.0192215073082795,0.4,0.4,Convective
3.447856839063353e+24,21155139.01625239,88.25197635875662,17110882.248675197,2.0424295234100774e+17,1.920488239297447e+26,54.66012747423678,1.0192215237492812,0.4,0.4,Convective
3.5268085028793666e+24,21312852.644366577,88.25197450634955,17110882.008983225,2.0424294518833814e+17,1.9636433158488816e+26,54.66011896196791,1.0192215404540605,0.4,0.4,Convective
3.6075680622984087e+24,21471863.970430207,88.25197262380199,17110881.765391227,2.0424293791928768e+17,2.0077865834405938e+26,54.660110311198096,1.0192215574306427,0.4,0.4,Convective
3.6901769158972564e+24,21632175.377421983,88.2519707101277,17110881.51777159,2.042429305300482e+17,2.0529406701651578e+26,54.66010151739481,1.0192215746879232,0.4,0.4,Convective
3.7746774102288834e+24,21793780.36905681,88.25196876423311,17110881.265982814,2.042429230163972e+17,2.0991287222607277e+26,54.66009257553347,1.0192215922357637,0.4,0.4,Convective
3.861112861530029e+24,21956661.15499246,88.25196678490511,17110881.00986792,2.0424291537365034e+17,2.1463744159755322e+26,54.66008348003945,1.019221610085102,0.4,0.4,Convective
3.9495275779258574e+24,22120947.303153813,88.25196476955975,17110880.749092564,2.0424290759183037e+17,2.1947019696928446e+26,54.660074219038705,1.0192216282592421,0.4,0.4,Convective
4.039966882142755e+24,22286895.979978528,88.25196271526083,17110880.48327682,2.0424289965959987e+17,2.244136156332348e+26,54.660064779039246,1.0192216467846615,0.4,0.4,Convective
4.1324771347417035e+24,22454488.847322732,88.25196062179582,17110880.212393187,2.042428915761381e+17,2.294702316079527e+26,54.66005515906444,1.0192216656632773,0.4,0.4,Convective
4.22710575788318e+24,22623700.72947566,88.25195848904316,17110879.936425935,2.0424288334097587e+17,2.3464263693662794e+26,54.66004535855558,1.0192216848961835,0.4,0.4,Convective
4.323901259636573e+24,22794505.23665049,88.25195631692637,17110879.65536517,2.042428749538177e+17,2.399334830157206e+26,54.66003537716177,1.0192217044840715,0.4,0.4,Convective
4.422913258846263e+24,22966874.836058516,88.25195410541639,17110879.36920712,2.0424286641455136e+17,2.4534548195404307e+26,54.66002521474923,1.0192217244272046,0.4,0.4,Convective
4.524192510566747e+24,23140780.935246732,88.25195185453396,17110879.07795448,2.0424285772325702e+17,2.508814079629428e+26,54.66001487141342,1.0192217447253937,0.4,0.4,Convective
4.627790932080741e+24,23316193.978618342,88.2519495643519,17110878.781616673,2.04242848880216e+17,2.5654409877834768e+26,54.660004347489334,1.0192217653779838,0.4,0.4,Convective
4.7337616295125086e+24,23493083.55808609,88.25194723499733,17110878.480210133,2.0424283988591882e+17,2.6233645711534407e+26,54.65999364356087,1.0192217863838293,0.4,0.4,Convective
4.842158925050977e+24,23671418.53884352,88.25194486665326,17110878.17375856,2.0424283074107242e+17,2.6826145215608212e+26,54.65998276046971,1.0192218077412774,0.4,0.4,Convective
4.953038384796234e+24,23851167.20126576,88.25194245956045,17110877.862293098,2.0424282144660646e+17,2.7432212107175226e+26,54.6599716993218,1.0192218294481568,0.4,0.4,Convective
5.06645684724328e+24,24032297.399976287,88.25194001401864,17110877.545852527,2.042428120036781e+17,2.8052157057939148e+26,54.6599604614948,1.0192218515017677,0.4,0.4,Convective
5.182472452418626e+24,24214776.741138514,88.25193753038725,17110877.22448336,2.0424280241367533e+17,2.868629785343704e+26,54.65994904864077,1.0192218738988659,0.4,0.4,Convective
5.301144671683467e+24,24398572.779041905,88.25193500908586,17110876.89823988,2.0424279267821818e+17,2.9334959555931287e+26,54.65993746268724,1.019221896635671,0.4,0.4,Convective
5.422534338219723e+24,24583653.233063363,88.25193245059391,17110876.567184135,2.0424278279915805e+17,2.9998474671033763e+26,54.65992570583802,1.019221919707856,0.4,0.4,Convective
5.546703678214192e+24,24769986.2260815,88.25192985544979,17110876.231385782,2.042427727785737e+17,3.0677183318145613e+26,54.65991378056705,1.0192219431105691,0.4,0.4,Convective
5.673716342756325e+24,24957540.54541061,88.251927224249,17110875.890921876,2.0424276261876448e+17,3.137143340479735e+26,54.6599016896112,1.0192219668384386,0.4,0.4,Convective
5.803637440467101e+24,25146285.927301347,88.25192455764133,17110875.5458765,2.042427523222396e+17,3.2081580804984855e+26,54.65988943595616,1.019221990885604,0.4,0.4,Convective
5.936533570874378e+24,25336193.36601548,88.2519218563271,17110875.196340263,2.0424274189170304e+17,3.280798954158534e+26,54.6598770228202,1.0192220152457527,0.4,0.4,Convective
6.072472858552954e+24,25527235.44843431,88.25191912105176,17110874.84240963,2.0424273133003328e+17,3.355103197295283e+26,54.65986445362889,1.0192220399121583,0.4,0.4,Convective
6.211524988046411e+24,25719386.715088055,88.2519163525993,17110874.484186035,2.042427206402574e+17,3.4311088983786686e+26,54.65985173198547,1.0192220648777557,0.4,0.4,Convective
6.353761239588124e+24,25912624.04840256,88.25191355178359,17110874.121774793,2.0424270982551805e+17,3.508855018036802e+26,54.65983886162924,1.019222090135203,0.4,0.4,Convective
6.499254525640991e+24,26106927.088846926,88.25191071943794,17110873.755283736,2.0424269888903302e+17,3.5883814090270885e+26,54.65982584639035,1.0192221156769858,0.4,0.4,Convective
6.648079428273116e+24,26302278.679518882,88.25190785640238,17110873.384821545,2.042426878340457e+17,3.669728836664263e+26,54.659812690128305,1.0192221414955296,0.4,0.4,Convective
6.800312237389857e+24,26498665.339533664,88.25190496350807,17110873.01049578,2.0424267666376547e+17,3.752938999716473e+26,54.65979939666293,1.0192221675833382,0.4,0.4,Convective
